,year,COUNTRY,mount_kba_area,kba,cum_overlap,cum_percPA
29553,1950,SHN,188119019.5,188119019.5,0,0
29554,1950,SJM,59328163374,59328163374,0,0
29555,1950,SLB,6998809470,6998809470,0,0
29556,1950,SLE,4209833796,4209833796,272264672.8,6.467349686
29557,1950,SLV,3202520351,3202520351,0,0
29558,1950,SOM,9617525883,9617525883,0,0
29559,1950,SRB,9924814813,9924814813,1047553.324,0.01055489
29560,1950,SSD,51819760793,51819760793,19630331.14,0.037881941
29561,1950,STP,777443271.1,777443271.1,0,0
29562,1950,SUR,39376384561,39376384561,0,0
29563,1950,SVK,12886764181,12886764181,595300.4942,0.004619472
29564,1950,SVN,5008062138,5008062138,824584464.5,16.46514044
29565,1950,SWE,14249867777,14249867777,0,0
29566,1950,SWZ,1904360504,1904360504,0,0
29567,1950,SYC,141803298.1,141803298.1,0,0
29568,1950,SYR,5254678484,5254678484,0,0
29569,1950,TCD,1739715614,1739715614,0,0
29570,1950,TGO,2165621490,2165621490,0,0
29571,1950,THA,81468891068,81468891068,0,0
29572,1950,TJK,8531617644,8531617644,353144313,4.139242143
29573,1950,TKM,15616698481,15616698481,2700612770,17.29310951
29574,1950,TLS,5335904599,5335904599,0,0
29575,1950,TON,70322026.57,70322026.57,0,0
29576,1950,TTO,537181760.9,537181760.9,20491240.49,3.814582323
29577,1950,TUN,9491864350,9491864350,4627607128,48.75340563
29578,1950,TUR,39446693366,39446693366,0,0
29579,1950,TWN,6513135462,6513135462,0,0
29580,1950,TZA,1.79575E+11,1.79575E+11,74971264184,41.7491628
29581,1950,UGA,21904875127,21904875127,7694194304,35.12548809
29582,1950,UKR,3832586985,3832586985,0,0
29583,1950,USA,4.36424E+11,4.36424E+11,15371068199,3.52205157
29584,1950,UZB,15860987882,15860987882,274504624.1,1.730690586
29585,1950,VCT,214303794,214303794,32059809.28,14.95998213
29586,1950,VEN,1.81588E+11,1.81588E+11,812458301.4,0.44741904
29587,1950,VGB,9338983.318,9338983.318,0,0
29588,1950,VIR,29303051.36,29303051.36,0,0
29589,1950,VNM,33351781153,33351781153,0,0
29590,1950,VUT,3832428910,3832428910,0,0
29591,1950,WSM,1102962723,1102962723,0,0
29592,1950,YEM,1930342980,1930342980,0,0
29593,1950,ZAF,1.80058E+11,1.80058E+11,31453243552,17.4684315
29594,1950,ZMB,38977467606,38977467606,0,0
29595,1950,ZWE,14490246292,14490246292,1136905951,7.846008467
29596,1950,NA,8071363525,8071363525,0,0
29597,1951,AFG,16331460902,16331460902,6768763.416,0.04144616
29598,1951,AGO,18350580764,18350580764,0,0
29599,1951,ALB,6981720191,6981720191,3008514.345,0.043091305
29600,1951,AND,474631265.5,474631265.5,0,0
29601,1951,ARE,122931159.8,122931159.8,0,0
29602,1951,ARG,1.41206E+11,1.41206E+11,23462830682,16.61599138
29603,1951,ARM,11021516898,11021516898,0,0
29604,1951,ASM,2522538123,2522538123,0,0
29605,1951,ATA,31399811.85,31399811.85,0,0
29606,1951,ATF,2627109984,2627109984,0,0
29607,1951,AUS,1.12166E+11,1.12166E+11,4630832.109,0.00412856
29608,1951,AUT,12632799987,12632799987,10998914.83,0.087066326
29609,1951,AZE,11698672988,11698672988,178232987.7,1.523531668
29610,1951,BDI,1140478579,1140478579,362733881.6,31.80540944
29611,1951,BEL,3229304257,3229304257,30191876.2,0.934934394
29612,1951,BES,40883902.37,40883902.37,0,0
29613,1951,BFA,79401708.17,79401708.17,0,0
29614,1951,BGD,1333561822,1333561822,0,0
29615,1951,BGR,23713397484,23713397484,450772794,1.900920331
29616,1951,BIH,982214131.5,982214131.5,0,0
29617,1951,BLZ,24137903141,24137903141,303546625.4,1.257551758
29618,1951,BOL,1.38246E+11,1.38246E+11,846571474.7,0.612367049
29619,1951,BRA,4.20208E+11,4.20208E+11,3265175372,0.777037017
29620,1951,BRN,1736355118,1736355118,218847029.9,12.60381748
29621,1951,BTN,13806202681,13806202681,0,0
29622,1951,BWA,8916372422,8916372422,0,0
29623,1951,CAF,36174744975,36174744975,34647507438,95.7781664
29624,1951,CAN,62756754478,62756754478,997974793.4,1.590226903
29625,1951,CHE,5464191470,5464191470,170311948.8,3.116873735
29626,1951,CHL,52892758432,52892758432,4804025192,9.082576395
29627,1951,CHN,7.16106E+11,7.16106E+11,0,0
29628,1951,CIV,13233237214,13233237214,190498228.7,1.439543671
29629,1951,CMR,13779322218,13779322218,0,0
29630,1951,COD,70458032007,70458032007,19273467978,27.35453635
29631,1951,COG,15310919460,15310919460,3004432703,19.62281045
29632,1951,COK,2600360.171,2600360.171,0,0
29633,1951,COL,94192789942,94192789942,91349618.91,0.096981541
29634,1951,COM,1509128138,1509128138,0,0
29635,1951,CPV,8759049410,8759049410,0,0
29636,1951,CRI,33687817760,33687817760,0,0
29637,1951,CUB,6618478570,6618478570,0,0
29638,1951,CYP,1938793668,1938793668,0,0
29639,1951,CZE,6943852822,6943852822,60359415.32,0.869249635
29640,1951,DEU,23340999970,23340999970,602573583.5,2.581609975
29641,1951,DJI,548131161.6,548131161.6,0,0
29642,1951,DMA,233350928.1,233350928.1,0,0
29643,1951,DOM,7378792838,7378792838,0,0
29644,1951,DZA,1.86065E+11,1.86065E+11,0,0
29645,1951,ECU,97748622037,97748622037,0,0
29646,1951,EGY,28131495821,28131495821,0,0
29647,1951,ERI,10652979757,10652979757,0,0
29648,1951,ESP,1.80743E+11,1.80743E+11,816940013,0.451988883
29649,1951,ETH,1.2756E+11,1.2756E+11,0,0
29650,1951,FIN,12288036249,12288036249,0,0
29651,1951,FJI,18766331090,18766331090,12807831.04,0.068248988
29652,1951,FLK,424671618,424671618,0,0
29653,1951,FRA,40870705604,40870705604,8382.967403,2.05E-05
29654,1951,FRO,15888262.24,15888262.24,0,0
29655,1951,FSM,149584532.9,149584532.9,0,0
29656,1951,GAB,27142642220,27142642220,0,0
29657,1951,GBR,20261279591,20261279591,754808578,3.725374671
29658,1951,GEO,15839349139,15839349139,1120361608,7.073280586
29659,1951,GHA,4357221634,4357221634,746350506.3,17.12904619
29660,1951,GIB,177399899.6,177399899.6,0,0
29661,1951,GIN,3118335866,3118335866,880273531.8,28.22895191
29662,1951,GLP,392009845.6,392009845.6,0,0
29663,1951,GNQ,3312094660,3312094660,0,0
29664,1951,GRC,40993725279,40993725279,55241383.25,0.134755704
29665,1951,GRD,33433398.72,33433398.72,15470699.35,46.27318773
29666,1951,GRL,25393699318,25393699318,0,0
29667,1951,GTM,51729613845,51729613845,0,0
29668,1951,GUF,22336553322,22336553322,0,0
29669,1951,GUY,2521603105,2521603105,0,0
29670,1951,HKG,776755434.9,776755434.9,0,0
29671,1951,HMD,391219532.6,391219532.6,0,0
29672,1951,HND,20013192139,20013192139,0,0
29673,1951,HRV,19831243938,19831243938,589816799.8,2.97417954
29674,1951,HTI,4709932936,4709932936,0,0
29675,1951,HUN,4994811143,4994811143,0,0
29676,1951,IDN,2.44273E+11,2.44273E+11,1951869598,0.799051005
29677,1951,IND,1.50902E+11,1.50902E+11,2332229951,1.545523263
29678,1951,IRL,3395766683,3395766683,0,0
29679,1951,IRN,75916321457,75916321457,0,0
29680,1951,IRQ,3770694290,3770694290,0,0
29681,1951,ISL,11275891132,11275891132,2820012689,25.00922239
29682,1951,ISR,7274151186,7274151186,0,0
29683,1951,ITA,59517508330,59517508330,2509984003,4.217219561
29684,1951,JAM,6191755671,6191755671,1254364086,20.2586173
29685,1951,JOR,7503151500,7503151500,0,0
29686,1951,JPN,3.19625E+11,3.19625E+11,15788194655,4.939600531
29687,1951,KAZ,44916991381,44916991381,724155875.4,1.612209218
29688,1951,KEN,60383752799,60383752799,26291185703,43.54016517
29689,1951,KGZ,2159779593,2159779593,714113802.8,33.06419808
29690,1951,KHM,43270945271,43270945271,0,0
29691,1951,KNA,65942608.97,65942608.97,0,0
29692,1951,KOR,1295433536,1295433536,0,0
29693,1951,LAO,51267444609,51267444609,0,0
29694,1951,LBN,2516835227,2516835227,101966.6988,0.004051386
29695,1951,LBR,11423112135,11423112135,0,0
29696,1951,LBY,3684771.576,3684771.576,0,0
29697,1951,LCA,240337066,240337066,91929151.3,38.25009303
29698,1951,LIE,10126161.97,10126161.97,0,0
29699,1951,LKA,4551204726,4551204726,842335659.9,18.5079712
29700,1951,LSO,2304335171,2304335171,0,0
29701,1951,LUX,232316507.7,232316507.7,35516547.2,15.28799979
29702,1951,MAR,37504179888,37504179888,746283904.9,1.989868615
29703,1951,MDA,180346636,180346636,0,0
29704,1951,MDG,88611537586,88611537586,2448638604,2.76334061
29705,1951,MEX,3.22843E+11,3.22843E+11,2483037932,0.769116499
29706,1951,MKD,8242350876,8242350876,906909575.5,11.003045
29707,1951,MLI,3285868932,3285868932,0,0
29708,1951,MMR,1.48533E+11,1.48533E+11,1169344766,0.787260571
29709,1951,MNE,1678384213,1678384213,0,0
29710,1951,MNG,71364037020,71364037020,0,0
29711,1951,MNP,16117677043,16117677043,0,0
29712,1951,MOZ,9708529683,9708529683,4074586440,41.96914026
29713,1951,MRT,1031775463,1031775463,0,0
29714,1951,MSR,16169993.68,16169993.68,0,0
29715,1951,MTQ,545233023.2,545233023.2,0,0
29716,1951,MUS,600031743.6,600031743.6,2029805.324,0.33828299
29717,1951,MWI,18328931222,18328931222,4206262221,22.94875882
29718,1951,MYS,48667368425,48667368425,5031419890,10.33838494
29719,1951,MYT,68455246203,68455246203,0,0
29720,1951,NAM,97455366828,97455366828,0,0
29721,1951,NCL,46860378857,46860378857,122369962.9,0.261137374
